종목명,시가총액,조단위,누적비율
삼성전자,6482004,648.2004,0.17385020901438256
SK하이닉스,4200574,420.0574,0.28651145820219254
LG에너지솔루션,1056510,105.651,0.31484752283988565
삼성바이오로직스,754080,75.408,0.33507228135801764
삼성전자우,656860,65.686,0.3526895565545753
현대차,646011,64.6011,0.3700158567814172
두산에너빌리티,491951,49.1951,0.383210199792442
기아,490359,49.0359,0.396361844660616
KB금융,487890,48.789,0.40944726985875335
한화에어로스페이스,483149,48.3149,0.4224055393437907
HD현대중공업,482038,48.2038,0.4353340113183336
셀트리온,432128,43.2128,0.4469238750581534
삼성물산,427491,42.7491,0.4583893724107881
SK스퀘어,426782,42.6782,0.469835854070407
NAVER,390563,39.0563,0.48031092615973064
신한지주,378686,37.8686,0.49046745186548774
한화오션,349311,34.9311,0.49983612710250136
